序号,省级类,省级,地级类,地级,县级类,县级,地名,适宜性均值
259,省,福建省,地级市,三明市,县,大田县,大田县,0.3669
260,省,青海省,地级市,西宁市,自治县,大通回族土族自治县,大通回族土族自治县,0.1735
261,省,安徽省,地级市,淮南市,市辖区,大通区,大通区,0.5931
262,省,辽宁省,地级市,盘锦市,市辖区,大洼区,大洼区,0.5017
263,自治区,宁夏回族自治区,地级市,石嘴山市,市辖区,大武口区,大武口区,0.279
264,省,湖北省,地级市,孝感市,县,大悟县,大悟县,0.3398
265,省,湖南省,地级市,邵阳市,市辖区,大祥区,大祥区,0.5519
266,自治区,广西壮族自治区,地级市,崇左市,县,大新县,大新县,0.2744
267,直辖市,北京市,不统计,不统计,市辖区,大兴区,大兴区,0.6667
268,省,云南省,自治州,楚雄彝族自治州,县,大姚县,大姚县,0.1979
269,省,湖北省,地级市,黄石市,县级市,大冶市,大冶市,0.457
270,省,四川省,地级市,成都市,县,大邑县,大邑县,0.4825
271,省,四川省,地级市,遂宁市,县,大英县,大英县,0.4954
272,省,江西省,地级市,赣州市,县,大余县,大余县,0.3898
273,省,四川省,地级市,达州市,县,大竹县,大竹县,0.4698
274,直辖市,重庆市,不统计,不统计,市辖区,大足区,大足区,0.5379
275,省,山西省,地级市,忻州市,县,代县,代县,0.357
276,省,浙江省,地级市,舟山市,县,岱山县,岱山县,0.0053
277,省,山东省,地级市,泰安市,市辖区,岱岳区,岱岳区,0.5225
278,省,四川省,自治州,甘孜藏族自治州,县,丹巴县,丹巴县,0.1116
279,省,陕西省,地级市,商洛市,县,丹凤县,丹凤县,0.3291
280,省,湖北省,地级市,十堰市,县级市,丹江口市,丹江口市,0.2859
281,省,四川省,地级市,眉山市,县,丹棱县,丹棱县,0.4382
282,省,江苏省,地级市,镇江市,市辖区,丹徒区,丹徒区,0.6223
283,省,江苏省,地级市,镇江市,县级市,丹阳市,丹阳市,0.6545
284,省,贵州省,自治州,黔东南苗族侗族自治州,县,丹寨县,丹寨县,0.4569
285,省,山东省,地级市,菏泽市,县,单县,单县,0.3587
286,省,河南省,地级市,周口市,县,郸城县,郸城县,0.3444
