序号,省级类,省级,地级类,地级,适宜性均值
77,省,甘肃省,自治州,甘南藏族自治州,0.0769
78,省,四川省,自治州,甘孜藏族自治州,0.0679
79,省,江西省,地级市,赣州市,0.3065
80,自治区,宁夏回族自治区,地级市,固原市,0.2888
81,省,四川省,地级市,广安市,0.4636
82,省,四川省,地级市,广元市,0.1995
83,省,广东省,地级市,广州市,0.3045
84,自治区,广西壮族自治区,地级市,贵港市,0.2847
85,省,贵州省,地级市,贵阳市,0.4993
86,自治区,广西壮族自治区,地级市,桂林市,0.566
87,省,青海省,自治州,果洛藏族自治州,0.0193
88,省,黑龙江省,地级市,哈尔滨市,0.2573
89,自治区,新疆维吾尔自治区,地级市,哈密市,0.0197
90,省,青海省,自治州,海北藏族自治州,0.0285
91,省,青海省,地级市,海东市,0.2296
92,省,海南省,地级市,海口市,0.5823
93,省,青海省,自治州,海南藏族自治州,0.0955
94,省,青海省,自治州,海西蒙古族藏族自治州,0.0326
95,省,河北省,地级市,邯郸市,0.4987
96,省,陕西省,地级市,汉中市,0.2063
97,省,浙江省,地级市,杭州市,0.5455
98,省,安徽省,地级市,合肥市,0.5898
99,自治区,新疆维吾尔自治区,地区,和田地区,0.0171
100,自治区,广西壮族自治区,地级市,河池市,0.2858
101,省,广东省,地级市,河源市,0.2433
102,省,山东省,地级市,菏泽市,0.4519
103,自治区,广西壮族自治区,地级市,贺州市,0.4654
104,省,河南省,地级市,鹤壁市,0.482
105,省,黑龙江省,地级市,鹤岗市,0.1546
106,省,黑龙江省,地级市,黑河市,0.103
107,省,河北省,地级市,衡水市,0.4063
108,省,湖南省,地级市,衡阳市,0.4181
109,省,云南省,自治州,红河哈尼族彝族自治州,0.3679
110,自治区,内蒙古自治区,地级市,呼和浩特市,0.233
111,自治区,内蒙古自治区,地级市,呼伦贝尔市,0.0578
112,自治区,新疆维吾尔自治区,不统计,不统计,0.0536
113,省,辽宁省,地级市,葫芦岛市,0.4281
114,省,浙江省,地级市,湖州市,0.6287
115,省,湖南省,地级市,怀化市,0.3647
116,省,江苏省,地级市,淮安市,0.5127
117,省,安徽省,地级市,淮北市,0.5016
118,省,安徽省,地级市,淮南市,0.5504
119,省,湖北省,地级市,黄冈市,0.4553
120,省,青海省,自治州,黄南藏族自治州,0.0669
121,省,安徽省,地级市,黄山市,0.4889
